fiscal_year_end,fiscal_year,nopat,invested_capital,roic,incremental_roic,equity,roe
2015-12-31,2015,1299062050.0,10417420000.0,,,8388831000.0,
2016-12-31,2016,1375919220.0,13705896000.0,0.13207869318890858,,9820481000.0,0.17545877369564364
2017-12-31,2017,2071846000.0,15100100000.0,0.15116457909792982,0.21162592641697855,10676200000.0,0.21572263110126683
2018-12-31,2018,2461199000.0,16051800000.0,0.16299223183952424,0.27926544465515807,11641000000.0,0.24274554616811225
2019-12-31,2019,2316364000.0,18035100000.0,0.1443055607470813,-0.15218556267731428,12592200000.0,0.22268705437677175
2020-12-31,2020,3362745000.0,19840100000.0,0.1864555782890031,0.5275959259819493,13865400000.0,0.28221438668382015
2021-12-31,2021,5602583000.0,21162900000.0,0.28238683272765763,1.2409074792243768,10140600000.0,0.4243079896721335
2022-12-31,2022,5395581000.0,26466900000.0,0.2549547084756815,-0.15648775325068037,8810800000.0,0.554622014476461
2023-12-31,2023,7505109000.0,30605500000.0,0.2835658501751244,0.3977239819004525,13452400000.0,0.8897035456485223
2024-12-31,2024,7488758000.0,32353300000.0,0.24468667396383004,-0.0039508529454404875,18476800000.0,0.5628438048229312
